,primary_term,permutation_1,permutation_2,permutation_3,permutation_4,permutation_5,permutation_6,permutation_7,permutation_8,permutation_9,permutation_10,permutation_11,permutation_12,permutation_13,permutation_14,permutation_15,permutation_16,permutation_17,permutation_18,permutation_19,permutation_20,permutation_21,permutation_22
414,SOCKET COUPLING,SOCK CPLG,SKT CPLG,SOCKET CPLG,SCKT CPLG,S/W CPLG,SOCKOLET CPLG,SW CPLG,SOCK COUPLING,SKT COUPLING,S/W COUPLING,,,,,,,,,,,,
415,SOCKET INSERT,SOCK INSERT,SKT INSERT,SOCKET INS,SKT INS,S-INSERT,SOCK INS,SOCKET INSR,SO INSERT,S INSERT,S.I.,,,,,,,,,,,,
416,HEX REDUCING BUSHING,HEX RED BUSH,HEX BUSHING RED,HEX RED BSH,HEX BUSH RED,HEX RD BUSH,HEX BSH RED,HEX REDUCING BSH,HEX RED BSHG,HEXAGONAL REDUCING BUSHING,HEX BSHG RED,,,,,,,,,,,,
417,ROUND HEAD BULL PLUG,RH BULL PLUG,BULL PLUG RH,RND HEAD BULL PLUG,ROUND HD BULL PLUG,RH BULL PLG,RHBP,RND HD BP,ROUND HEAD BP,RH BP,BULL PLG RH,,,,,,,,,,,,
418,3-WAY BALL,THREE WAY BALL,3 WAY BALL,THREE-WAY BALL,3-WAY BALL VALVE,THREE WAY BALL VALVE,3 WAY BALL VALVE,THREE-WAY BALL VALVE,3W BALL,3W BALL VALVE,3WAY BALL,,,,,,,,,,,,
419,CHECK BALL,CHKBALL,CHK BALL,CK BALL,CHECK BL,CHK BL,CK BL,CHKBL,CKBL,CHK-BALL,CK-BALL,,,,,,,,,,,,
420,CONTROLLED DISC TRAP,CD TRAP,CTRL DISC TRAP,CNTRL DISC TRAP,CDT,CONT DISC TRP,CONTROL DISC TRP,CTRL DSC TRP,CNTRL DSC TRP,CONTRL DISC TRAP,C.D.T.,,,,,,,,,,,,
421,PRESSURE REGISTER,PRESS REG,PRES RGSTR,PR REG,PRESS RGSTR,P REGISTER,P REG,PRES REG,PR REGISTER,PRESSURE REG,P RGSTR,,,,,,,,,,,,
422,ANCHOR FLANGE,ANCHOR FLG,ANC FLG,ANC FLANGE,ANCHR FLG,ANCHR FLANGE,A.F.,A/F,ANCH FLG,ANCH FLANGE,ANCHOR F,,,,,,,,,,,,
423,BLIND RAISED FACE FLANGE,BLIND RF FLANGE,BLD RF FLG,BLIND RF FLG,RF BLIND FLANGE,RF BLD FLG,BLRF FLG,BRF FLANGE,BRF FLG,BLIND R.F. FLANGE,BLIND R/F FLANGE,,,,,,,,,,,,
424,CGI,CAST GRAY IRON,CAST GREY IRON,C.G.I.,C G I,CAST G IRON,CST GRY IRN,CAST GRY IRON,C.GRAY IRON,C.GREY IRON,CST GRAY IRN,,,,,,,,,,,,
425,BELLOWS SEAL GATE,BELLOWS SEAL GATE VALVE,BSG VALVE,BSGV,BS GATE VALVE,BS GATE,BELLOWS GATE,BELLOWS GATE VLV,BSG VLV,BELLOWS SEALED GATE,BELLOWS SEAL GT VLV,,,,,,,,,,,,
426,3 WAY BALL,3WAY BALL,THREE WAY BALL,3-WAY BALL,3W BALL,3 WAY BV,THREE WAY BV,3WAY BV,3-WAY BV,3W BV,3WAY BALL VLV,,,,,,,,,,,,
427,CHECK VALVE SWING,SWING CHECK VALVE,SCV,SWING CHK VLV,SWG CHK VLV,SW CHK VLV,S.C.V.,SWING CHECK,SWG CHECK,SWING CK VLV,SW CK VLV,,,,,,,,,,,,
428,RISING STEM ISOLATION,RSI,RISING STEM ISOL,RS ISOLATION,RS ISOL,RISING STEM ISOL VALVE,RSI VALVE,RISING STEM ISOLATION VLV,RS ISOLATION VLV,RISING STEM ISO,RS ISO,,,,,,,,,,,,
429,WRI,WROT,WROUGHT,WROUGHT IRON,WRT,WROT IRON,W.R.I.,W/R/I,W-R-I,W.R.I,WR IRON,,,,,,,,,,,,
430,STUD,STD,STUD BOLT,ST BOLT,STUDDING,STUD-BOLT,STUD/BOLT,STUD B,ST-BOLT,STD BOLT,STUDBOLT,,,,,,,,,,,,
431,CLAMP BOLT,CLMP BLT,CL BLT,CLAMP-BOLT,CLMP-BLT,CL-BLT,CLAMPING BOLT,C/BOLT,C-BLT,CLAMP B,C BOLT,,,,,,,,,,,,
432,INSTRUMENT,INST,INSTR,INSTRM,INSTRMNT,I&C,INSTRUMENTN,INSTRUMNT,INSTRU,INSTMT,INSTRMT,,,,,,,,,,,,
433,PIPE CLAMP,PIPE CLMP,P CLAMP,P CLMP,PCLMP,PIPE CLP,P CLP,PCLP,PIPE SUPPORT CLAMP,PIPE SUPP CLMP,PSC,,,,,,,,,,,,
434,STUD WITH 2 HEAVY HEX NUTS,STUD W/2HH NUTS,STUD W/ 2 HVY HEX NUTS,STD W/2HHN,STUD & 2HH NUTS,STD & 2HHN,STUD WITH TWO HEAVY HEX NUTS,ALL THREAD WITH 2HHN,AT W/2HHN,STUD 2HHN,STUD-2HHN,,,,,,,,,,,,
435,STUD WITH NUTS,STUD W/ NUTS,STD W/NTS,STUD AND NUTS,STUD & NUTS,STD & NTS,STUD/NUTS,STUDS W/NUTS,STD/NTS,STUD + NUTS,THREADED STUD W/NUTS,,,,,,,,,,,,
436,STUD WITH NUT,STUD W/ NUT,STUD & NUT,STUD AND NUT,STD W/NUT,STD & NUT,STUDDING WITH NUT,STUD/NUT,STD/NUT,STUD W/N,STD W/N,,,,,,,,,,,,
437,THERMODYNAMIC,THERMO DYN,THERMO-DYN,TD,THDY,THERMODYN,TH-DYN,T-DYN,TDYN,T.D.,T/D,,,,,,,,,,,,
438,CAP SCREW,CS,CAP SCR,C/S,C.S.,CAPSCR,CAP-SCREW,CAPSCRW,C-S,CAPSCREW,CAP S,,,,,,,,,,,,
439,DUST CAP,DUST PROTECTION CAP,PROTECTIVE DUST CAP,DUST COVER,END CAP DUST,D-CAP,DCAP,DUST PROTECTION COVER,DUST SHIELD CAP,DST CAP,D CAP,,,,,,,,,,,,
440,DUST PLUG,DUST PLG,D PLG,DUST CAP,D CAP,DST PLG,PLG DUST,DUST PROTECTION PLUG,DUSTPLG,D-PLG,DUST-PLG,,,,,,,,,,,,
441,QUICK COUPLING,QC,QUICK CPLG,QUICK CPLNG,Q/COUPLING,QCOUP,Q-CPLG,Q.CPLG,QUICK-CPLG,Q/C,QK CPLG,,,,,,,,,,,,
442,QUICK DISCONNECT COUPLING,QD COUPLING,QUICK DISC COUPLING,QDC,QUICK CONNECT,QUICK DISCONNECT,Q.D. COUPLING,QUICK RELEASE COUPLING,QD CONNECTOR,QUICK DIS COUPLING,Q/D COUPLING,,,,,,,,,,,,
443,REDUCING COUPLING ADAPTER,RED CPLG ADPTR,REDUCING CPLG ADPT,RED CPL ADAPTER,REDCR CPLG ADPTR,RED COUP ADPTR,REDUCING COUPLING ADPT,RDCR CPLG ADPTR,RED COUPLING ADAPTER,REDUCER CPLG ADPTR,REDUCING COUPL ADPTR,,,,,,,,,,,,
444,HEX NUT,HEXNUT,HEX N,HX NUT,HEXAGONAL NUT,HX N,HEX-NUT,HEX,H NUT,H-NUT,HEXN,,,,,,,,,,,,
445,SPLIT RING HANGER,SRH,SPLIT RNG HNGR,SPLIT-RING HANGER,SPL RNG HNGR,S.R.H.,SPLIT RING SUPPORT,SPLIT-RING SUPPORT,SPLIT RNG SUPT,SPL RNG SUPT,SPLIT RING,,,,,,,,,,,,
446,3-WAY,THREE WAY,THREE-WAY,3WAY,3 WAY,THREEWAY,3-W,3W,THREE W,3 W,THREE-W,,,,,,,,,,,,
447,5-WAY SELECTOR,5 WAY SELECTOR,5 WAY SELECT VLV,5-WAY SELECT VALVE,5WAY SELECTOR,5-WAY SEL VLV,5 WAY SEL VLV,5WAY SELECT VALVE,5-WAY SELECTOR VLV,5 WAY SELECTOR VALVE,5WAY SEL VLV,,,,,,,,,,,,
448,BOILER DRAIN,BLR DRN,BLR DR,BLRDRN,B.D.,BD VLV,BOILER DR,BOILER DRN VLV,BLR DRAIN VLV,BOILER DRAIN VALVE,BD VALVE,,,,,,,,,,,,
449,CLOSET BOLT,CLS BLT,CLST BLT,CL BLT,CLT BLT,CLOSET B,C BOLT,CLST BOLT,CL BOLT,CLT BOLT,C.B.,,,,,,,,,,,,
450,COLLET SET,COLL SET,CLT SET,COL SET,COLLSET,CLTSET,COLSET,CSET,C-SET,CLS,CS,,,,,,,,,,,,
451,COMPRESSION NUT,COMP NUT,COMPNUT,COMP-NUT,COMPRESSION-NUT,COMP. NUT,COMPR NUT,COMPRESS NUT,COMP N,CNUT,C-NUT,,,,,,,,,,,,
452,COUPLING BARB,BARB COUPLING,CPLG BARB,BARB CPLG,HOSE BARB COUPLING,HOSE BARB CPLG,BARBED COUPLING,BARBED CPLG,CPL BARB,BARB CPL,COUPLING WITH BARB,,,,,,,,,,,,
453,DOUBLE PLUG,DBL PLUG,DBLE PLUG,D PLUG,DBL PLG,DBLE PLG,D PLG,DL PLUG,DL PLG,D.P.,DP,,,,,,,,,,,,
454,FERRULE,FER,FERL,FERR,FRLE,FRL,COMPRESSION FERRULE,COMP FERRULE,COMP FER,FERR COMP,FER COMP,,,,,,,,,,,,
455,FOG NOZZLE,FOG NZL,FOGNOZ,FG NOZZ,FG NZL,FOG NOZ,F NOZZLE,SPRAY NOZZLE,MIST NOZZLE,ATOMIZING NOZZLE,SPRAY NOZ,,,,,,,,,,,,
456,HEX ADAPTER,HEX ADPTR,HEXAGONAL ADAPTER,HEX ADP,HEX-ADP,HEXADP,HEX REDUCING ADAPTER,HEX RED ADAPTER,HEXAGONAL REDUCING ADAPTER,HEX ADPT,HEX-ADAPTER,,,,,,,,,,,,
457,HEX HEAD BOLT,HH BOLT,HEX BOLT,HEXHEAD BOLT,HEX HD BOLT,HH B,H.H.B.,HEX HD B,HHBOLT,HH BLT,HEXBOLT,,,,,,,,,,,,
458,HEX NIPPLE,HEX NIP,HEXNIP,HX NIP,HEXAGONAL NIPPLE,HEX NPLE,HX NPLE,HEXNPL,HEX NPL,HX NPL,H NIP,,,,,,,,,,,,
459,HOSE BARB,BARB,HB,HBARB,H BARB,H-BARB,HOSE-BARB,HOSBARB,HOSE FITTING,BARBED FITTING,BARB FITTING,,,,,,,,,,,,
460,HOSE CONNECTOR,HOSE CONN,HOSE CON,HSE CONN,HSE CON,H CONN,HOSE CNT,HOSE CONNECTION,HSE CONNECTION,H CONNECTION,HOSE CONNECT,,,,,,,,,,,,
461,HOSE MENDER,HOSE COUPLING,HOSE CONNECTOR,HOSE REPAIR,HOSE SPLICE,HOSE JOINER,HOSE UNION,HOSE FITTING,H/MENDER,H MENDER,H-MENDER,,,,,,,,,,,,
462,HOSE VALVE,HSV,HOSE VLV,HS VLV,H VLV,HOSE V,HSE VLV,H.V.,HS.VLV,HOSE-VLV,H-VLV,,,,,,,,,,,,
463,HOSE ADAPTER,ADAPTER HOSE,HOSE ADPT,HOSE ADP,ADPT HOSE,HSE ADPTR,HSE ADP,H ADAPTER,H ADPT,HOSE-ADPT,HOSE/ADPT,,,,,,,,,,,,
464,HOSE BIBB,HOSE BIB,HOSEBIB,HOSE BIBB VALVE,HOSEBIBB,HOSE VALVE,GARDEN VALVE,SILLCOCK,OUTDOOR FAUCET,SPIGOT,HOSE TAP,,,,,,,,,,,,
465,MALE CONNECTOR,MALE CONN,M CONN,MC,MALE CON,M CON,MALE FITTING,M FTG,MALE CONNECTION,M CONNECTION,MALE CNT,,,,,,,,,,,,
466,MALE ELBOW,ML ELBOW,ML ELL,MALE ELL,M ELBOW,M ELL,M.E.,ML.EL.,MALE 90,ML 90,M-EL,,,,,,,,,,,,
467,MALE INSERT,MI,M INSERT,MALE INS,M INS,MALE INSRT,M INSRT,ML INSERT,ML INS,ML INSRT,MALE-INSERT,,,,,,,,,,,,
468,304 MALE THREADED PLUG,304 MTH PLG,304 M THD PLG,304 MALE THD PLUG,304 M THREAD PLG,SS304 MALE THD PLG,304SS MTH PLUG,304 M THREADED PLG,304SST MTH PLG,304 MALE PLG,304 M PLG,,,,,,,,,,,,
469,MALE THREADED RUN TEE,MALE THD RUN TEE,M THD RUN TEE,MALE THREAD RUN TEE,MT RUN TEE,MALE THREADED RT,MALE THD RT,M THD RT,MTR TEE,MALE THR RUN T,M THREAD RUN TEE,,,,,,,,,,,,
470,NOZZLE,NZL,NOZ,NOZL,NZZL,NZ,N-ZL,SPRAY NOZZLE,NOZZL,SPRY NZL,NOZZEL,,,,,,,,,,,,
471,PIN LUG,P/LUG,P LUG,PIN-LUG,P-LUG,PLUG,P.LUG,P.L.,PIN LG,P/L,P/L/G,,,,,,,,,,,,
472,PORT CONNECTOR DOUBLE,DBL PORT CONN,DOUBLE PORT CONNECTOR,DBL PORT CONNECTOR,DOUBLE PORT CONN,PORT CONN DBL,PORT CONN DOUBLE,DPC,D.P.C.,2X PORT CONN,DUAL PORT CONN,,,,,,,,,,,,
473,309 PORT CONNECTOR UNION,309 PCU,309 PORT CONN UNION,309 PORT CONN,309 CONNECTOR UNION,309 CONN UNION,PORT CONNECTOR UNION 309,PCU 309,309 P C U,309 P.C.U.,309 PORT UN,,,,,,,,,,,,
474,PUMP ADAPTER,PUMP ADPT,PMP ADPTR,PUMP ADPTR,PMP ADAPTER,P ADAPTER,P ADPTR,PUMP ADP,PMP ADP,PUMP-ADAPTER,PMP-ADPTR,,,,,,,,,,,,
475,REDUCING ADAPTER,RED ADPT,RED ADAPTER,REDUCER ADAPTER,REDUC ADPT,REDUCING ADPT,RED ADP,RDCR ADPTR,REDUCER ADPT,REDUCING ADAPTOR,RDCR ADAPT,,,,,,,,,,,,
476,SOLENOID,SOL,SLN,SOLN,SOLEN,SOL VLV,SOLENOID VALVE,SOL VALVE,SLN VLV,SOLN VLV,SV,,,,,,,,,,,,
477,SPRING CHECK,SPRING CHK,SPR CHK,SPRG CHK,SPRING CHECK VLV,SPRING CHECK VALVE,SPR CHECK VLV,SPRG CHECK VALVE,SCV,S.C.V.,SPRING CHK VLV,,,,,,,,,,,,
478,THERMOMETER WELL ELBOW,THERM WELL ELBOW,THERMWELL ELBOW,THERM WELL ELL,THERMWELL ELL,TEMP WELL ELBOW,TEMP WELL ELL,THERMOWELL ELBOW,THERMOWELL ELL,THERM-WELL ELBOW,THERM-WELL ELL,,,,,,,,,,,,
479,UNION 90 ELBOW,UNION 90 ELL,UNION 90° ELBOW,UNION 90° ELL,UN 90 ELBOW,UN 90 ELL,UN 90° ELBOW,UN 90° ELL,UNION ELBOW 90,UN ELL 90,UNION ELL 90,,,,,,,,,,,,
480,316 UNION DOUBLE,316 DBL UNION,316 DOUBLE UNION,SS316 DBL UNION,SS316 DOUBLE UNION,316SS DBL UNION,316SS DOUBLE UNION,UNION DBL 316,UNION DOUBLE 316,DBL UNION 316,DOUBLE UNION 316,,,,,,,,,,,,
481,WASHER,WSH,WSHR,WASH,W/S,W-S,W.S.,WS,WASHERS,WSHS,W/SH,,,,,,,,,,,,
482,REDUCED PRESSURE ZONE,RPZ,RED PRESS ZONE,REDUCED PRESS ZONE,RED PRESSURE ZONE,R.P.Z.,RP ZONE,RED PR ZONE,REDUCED PR ZONE,RPZ ASSEMBLY,REDUCED PRESSURE ZONE ASSEMBLY,,,,,,,,,,,,
483,REDUCED PRESSURE ZONE VALVE,RPZ VALVE,RPZ VLV,RPZV,RED PRESS ZONE VLV,REDUCED PRESS ZONE V,RPZ,RED P ZONE VALVE,REDUCED P ZONE VLV,RP ZONE VALVE,RED PRESSURE ZONE V,,,,,,,,,,,,
484,ROUGHING VALVE,ROUGH-IN VALVE,ROUGH IN VLV,ROUGHING VLV,ROUGH-IN VLV,RGH-IN VALVE,RGH IN VLV,RGHIN VLV,RGH-IN VLV,ROUGH VALVE,RGH VLV,,,,,,,,,,,,
485,TRANSITION COUPLING,TRANS CPLG,TRANS COUPLING,TRN CPLG,TRANS CPLNG,TRANSITION CPLG,TR CPLG,TRANS-CPLG,TRANS. CPLG,TRAN COUPLING,TRANSITION CPL,,,,,,,,,,,,
486,TRAP PRIMER,TRAP PRM,TRP PRMR,TRP PRIMER,T PRIMER,TRAP PRI,T PRI,TP,TRPRM,T.P.,T-P,,,,,,,,,,,,
487,CAM AND GROOVE,CAM & GROOVE,CAM GROOVE,CAMLOCK,CAM-LOCK,CAM LOCK,KAMLOK,KAM-LOK,C&G,C AND G,C-N-G,,,,,,,,,,,,
488,CLAMP,CLP,CLMP,CLAMPING,CLAMPED,CLAM,CLAMPNG,CLMP-,CL,CLMPING,C-CLAMP,,,,,,,,,,,,
489,REPAIR,RPAIR,RPR,REPAR,REPR,REPARATION,RPRG,REP,REPARAR,REPARE,REPAIRING,,,,,,,,,,,,
490,REPAIR KIT,REPAIR KT,RPRKT,REP KIT,RPR KIT,REPR KIT,REP-KIT,RPR-KIT,RK,R/K,R.K.,,,,,,,,,,,,
491,3R 45 DEGREE ELBOW,3R 45 ELL,3R 45° ELL,3R 45 ELBOW,3R 45° ELBOW,ELBOW 3R 45,ELL 3R 45,3R 45DEG ELL,3R 45DEG ELBOW,3R 45-DEG ELBOW,3R 45-DEG ELL,,,,,,,,,,,,
492,3R 90 DEGREE ELBOW,3R 90 ELL,3R 90° ELL,3R 90 ELBOW,3R 90° ELBOW,ELBOW 3R 90,ELL 3R 90,3R 90DEG ELL,3R 90DEG ELBOW,3R 90 DEG ELL,3R LR ELBOW,,,,,,,,,,,,
493,3R 90 ELBOW,3R 90 ELL,3R 90° ELL,3R 90 ELBOW,3R 90° ELBOW,ELBOW 3R 90,ELL 3R 90,3R 90DEG ELL,3R 90DEG ELBOW,3R ELBOW 90,3R ELL 90,,,,,,,,,,,,
494,ADJUSTABLE CLEVIS,ADJ CLEVIS,ADJUST CLEVIS,ADJ CLEV,ADJUSTABLE CLEV,ADJ. CLEVIS,ADJUST. CLEVIS,ADJ-CLEVIS,ADJUST-CLEVIS,ADJUSTABLE CLVS,ADJ CLVS,,,,,,,,,,,,
495,ADJUSTABLE CLEVIS HANGER,ADJ CLEVIS HANGER,ADJ CLEVIS HANGR,ADJ CLV HANGER,ADJ CLV HANGR,ADJUSTABLE CLV HANGER,ADJUSTABLE CLV HANGR,ADJ CLEVIS,ADJUSTABLE CLEVIS,ADJ CLV,CLEVIS HANGER,,,,,,,,,,,,
496,BEAM ATTACHMENT,BEAM ATTACH,BM ATTACHMENT,BM ATTACH,BEAM CLAMP,BM CLAMP,BEAM CLIP,BM CLIP,BEAM FASTENER,BEAM CONNECTOR,BEAM SUPPORT,,,,,,,,,,,,
497,BEAM CLAMP,BM CLMP,B CLAMP,BEAM CLMP,B/CLAMP,B-CLAMP,BC,BEAM C,B.CLAMP,BM CLP,BEAM CLP,,,,,,,,,,,,
498,BUTTERFLY VALVE HANDLE,BFV HANDLE,BTF VLV HANDLE,BFLY VLV HANDLE,BTFLY VLV HANDLE,BV HANDLE,BFLY HANDLE,BTFLY HANDLE,BTF HANDLE,BFV HDL,BFLY HDL,,,,,,,,,,,,
499,BUTTERFLY HANDLE,BFV HANDLE,BFLY HANDLE,B'FLY HANDLE,BTF HANDLE,BUTTERFLY VLV HANDLE,BUTTERFLY VALVE HANDLE,BFV VLV HANDLE,BFLY VLV HANDLE,BTF VLV HANDLE,BV HANDLE,,,,,,,,,,,,
500,C CLAMP,C-CLAMP,C/CLAMP,CCLAMP,C TYPE CLAMP,C-TYPE CLAMP,C STYLE CLAMP,C-STYLE CLAMP,CSTYLE CLAMP,CTYPE CLAMP,C.CLAMP,,,,,,,,,,,,
501,CLAMP PIPE,PIPE CLAMP,P CLAMP,PIPE CLP,P CLP,PCLAMP,P/CLAMP,P-CLAMP,PIPE-CLAMP,PIPE/CLAMP,CLMP PIPE,,,,,,,,,,,,
502,CLEVIS,CLV,CLEVS,CLEV,CLE,CLEVIS HANGER,CLEVIS SUPPORT,PIPE CLEVIS,CLVS,CLEVIS PIN,CLV PIN,,,,,,,,,,,,
503,CLEVIS HANGER,CLV HNGR,CLEV HNGR,CLEVIS HGR,CLV HGR,CLEV HGR,CLEVIS,CLV,CLEV,CL HNGR,CL HGR,,,,,,,,,,,,
504,CLEVIS WITH PIN,CLEVIS W/ PIN,CLEVIS AND PIN,PIN CLEVIS,CLEVIS PIN ASSEMBLY,CLEVIS-PIN,CLEVIS/PIN,CLEVIS + PIN,PIN & CLEVIS,CLEVIS PIN SET,CLEVIS-PIN ASSY,,,,,,,,,,,,
505,CLIP,CLP,CLAMP,CLMP,PIPE CLIP,PIPE CLAMP,PIPE CLP,PIPE CLMP,SUPPORT CLIP,SUPPORT CLAMP,SUPPORT CLP,,,,,,,,,,,,
506,CONCENTRIC SWAGE NIPPLE,CONC SWAGE NIPPLE,CONCENTRIC SWAGE NIP,CONC SWG NIPPLE,CONC SWAGE NIP,CSN,CONC SWG NIP,CONCENTRIC REDUCER NIPPLE,CONC RED NIPPLE,CONC REDUCER NIP,CONCENTRIC NIP,,,,,,,,,,,,
507,COUPLING PLUG,CPLG PLUG,CPLNG PLG,CPL PLUG,PLUG CPLG,PLG CPLG,COUPLING PLG,CPG PLUG,CPLG PLG,COUP PLUG,COUP PLG,,,,,,,,,,,,
508,CPLUG,COUNTER PLUG,COUNTERSINK PLUG,COUNTERSUNK PLUG,C-PLUG,C PLG,COUNTER PLG,CSINK PLUG,CSUNK PLUG,C PLUG,CTR PLUG,,,,,,,,,,,,
509,DOUBLE BOLT PIPE CLAMP,DBL BOLT PIPE CLAMP,DOUBLE BOLT CLAMP,DBL BOLT CLAMP,2-BOLT PIPE CLAMP,TWO BOLT PIPE CLAMP,2BOLT CLAMP,DBPC,DB CLAMP,2-BOLT CLAMP,DBL-BOLT CLAMP,,,,,,,,,,,,
510,EYE NUT,EYENUT,EYE-NUT,EYE.NUT,E/NUT,E NUT,E-NUT,EYE N,EN,ENUT,E.NUT,,,,,,,,,,,,
511,FLAT WASHER,FW,F/W,F-W,F.W.,F WASHER,FLAT WASH,FL WASHER,FLAT WSH,FL WSH,WASHER,,,,,,,,,,,,
512,HANDWHEEL,HWHL,HW,HAND WHEEL,H/W,H-W,HAND-WHEEL,H.W.,HAND/WHEEL,HNDWHL,OPERATING WHEEL,,,,,,,,,,,,
513,HEAVY HEX NUT,HH NUT,H HEX NUT,HVY HEX NUT,HHNUT,HEAVY HEXNUT,HVY HX NUT,HH N,HEAVY HX NUT,H.H. NUT,HVY HEXNUT,,,,,,,,,,,,
514,350 HEX BULL PLUG,350# BULL PLUG,350LB BULL PLUG,350 BP HEX,350# BP HEX,350LB BP HEX,350 HEX BP,350# HEX BP,350LB HEX BP,350 CLASS BULL PLUG,350CLASS BP,,,,,,,,,,,,
515,HEX CAP,HEXAGON CAP,HEX HEAD CAP,HEXAGONAL CAP,HC,HEX CP,HX CAP,HEX C,HEXCAP,HEX-CAP,HEX.CAP,,,,,,,,,,,,
516,HEX HEAD BULL PLUG,HEX BULL PLUG,HEX HD BULL PLUG,HH BULL PLUG,HHBP,HEX HD BP,HEX BULL PLG,HEX HD B PLUG,HEX HEAD B PLUG,HH B PLUG,HEXHEAD BULL PLUG,,,,,,,,,,,,
517,HEXAGON NUT,HEX NUT,HEXNUT,HEX-NUT,HEX. NUT,HEXAGONAL NUT,HX NUT,HXNUT,H NUT,HN,HEXNUT,,,,,,,,,,,,
518,INSULATION PROTECTOR SHIELD,INS PROT SHIELD,INSUL PROT SHIELD,INS SHIELD,INSUL SHIELD,PROTECTION SHIELD,PROT SHIELD,IPS,PIPE SHIELD,INSULATION SHIELD,SADDLE SHIELD,,,,,,,,,,,,
519,INSULATION SHIELD,INS SHLD,INSUL SHIELD,INS SHIELD,INSUL SHLD,INSULATION SHLD,I-SHIELD,I SHLD,I-SHLD,INS-SHLD,INSUL-SHLD,,,,,,,,,,,,
520,LATERAL 45,LAT 45,45 LAT,45° LAT,45 LATERAL,45° LATERAL,LATERAL 45°,45 DEG LATERAL,45 DEGREE LATERAL,LAT 45°,45DEG LAT,,,,,,,,,,,,
521,LINED,LND,LINR,LIN,LIND,LINED PIPE,LINE,LINER,L/D,L-D,L.D.,,,,,,,,,,,,
522,LINED PIPE,LND PIPE,LINED PP,LND PP,LINED PIP,LND PIP,L PIPE,L PP,L PIP,LINED P,LND P,,,,,,,,,,,,
523,LOCK WASHER,LW,LOCK WSH,L WASHER,LCK WSHR,LOCKING WASHER,L/W,L.W.,LK WSHR,LOCK-WASHER,L-W,,,,,,,,,,,,
524,360. LOCKING HANDLE,360° LOCKING HANDLE,360 DEG LOCKING HANDLE,360 DEGREE LOCKING HANDLE,360 LH,360° LH,HANDLE 360 LOCK,HANDLE LOCK 360,360 LOCK HDL,360° LOCK HDL,360 DEG LH,,,,,,,,,,,,
525,LR 180 DEGREE ELBOW,LR 180 ELL,LR 180° ELL,LR 180 ELBOW,LR 180° ELBOW,ELBOW LR 180,ELL LR 180,LR 180D ELBOW,LR 180D ELL,LONG RADIUS 180 ELBOW,LONG RADIUS 180 ELL,,,,,,,,,,,,
526,LR 180 ELBOW,LR 180 ELL,LR 180° ELL,LR 180 ELBOW,LR 180° ELBOW,ELBOW LR 180,ELL LR 180,LONG RADIUS 180 ELBOW,LONG RADIUS 180 ELL,LR RETURN BEND,LONG RADIUS RETURN BEND,,,,,,,,,,,,
527,LR 45 DEGREE ELBOW,LR 45 ELL,LR 45° ELL,LR 45 ELBOW,LR 45° ELBOW,ELBOW LR 45,ELL LR 45,LR 45 DEG ELL,LR 45 DEG ELBOW,LONG RADIUS 45 ELBOW,LONG RADIUS 45 ELL,,,,,,,,,,,,
528,LR 45 ELBOW,LR 45 ELL,LR 45° ELL,LR 45 ELBOW,LR 45° ELBOW,ELBOW LR 45,ELL LR 45,LR 45,LONG RADIUS 45 ELBOW,LONG RADIUS 45° ELL,L.R. 45 ELBOW,,,,,,,,,,,,
529,365. LR ELBOW,365. LONG RADIUS ELBOW,365. LR ELL,365. LONG RADIUS ELL,365. ELL LR,365. ELBOW LR,365. L.R. ELBOW,365. L.R. ELL,365. LONG RAD ELBOW,365. LONG RAD ELL,365. L/R ELBOW,,,,,,,,,,,,
530,LR RETURN BEND,LONG RADIUS RETURN BEND,LR RET BEND,LR RTN BEND,LONG RAD RET BEND,LONG RAD RTN BEND,L.R. RETURN BEND,LR 180 BEND,LONG RADIUS 180 BEND,LR 180° BEND,LONG RADIUS 180° BEND,,,,,,,,,,,,
531,MACHINE BOLT,MACH BOLT,MCH BLT,MB,M.B.,MACH BLT,M BOLT,MACHINE BLT,MCH BOLT,M/B,MAC BLT,,,,,,,,,,,,
532,NIPOLET,NIPO,NIPLT,NIP,NPL,NLET,NIPOL,NIPL,NPLTT,NPLT,NIPLET,,,,,,,,,,,,
533,OVAL LOCKING HANDLE,OVAL LOCK HDL,OVAL LCK HANDLE,OVAL LK HDL,OV LOCK HDL,OV LCK HANDLE,OVL LOCK HDL,OVL LCK HANDLE,OVAL LOCKING HDL,OV LOCKING HDL,OVL LOCKING HDL,,,,,,,,,,,,
534,PIPE STRAP,PSTR,P STRAP,P/STRAP,P-STRAP,PIPE STR,PIPESTRAP,PIPE-STRAP,P.STRAP,PIPE/STRAP,P.STR,,,,,,,,,,,,
535,PLAIN END,PE,PLN END,PLAIN-END,PL END,P/E,P.E.,PLN E,P END,PLAIN,P-END,,,,,,,,,,,,
536,PLAIN END PIPE,PE PIPE,PLN END PIPE,PLAIN ENDED PIPE,PE PP,PEP,PLAIN END PP,PLAIN PIPE,P.E. PIPE,P/E PIPE,P.E.P,,,,,,,,,,,,
537,RECOVERY COUPLING,RECOVERY CPLG,REC COUPLING,REC CPLG,RCVY COUPLING,RCVY CPLG,RECOVERY CPLING,REC CPLING,RCVY CPL,RCV COUPLING,RCV CPLG,,,,,,,,,,,,
