Unnamed: 0,Description,category,type,primary_size,reducing_size,length,material_name,material_specification,material_grade,pressure_class,primary_schedule,reducing_schedule,manufacturing_process,end_finish,end_connections,trim,miscellaneous,confidence
42655,"1"" 300 SOCKETWELD FLANGE CARBON STEEL SCHEDULE XH RAISED FACE",flange,socket_weld,1.0,,,carbon_steel,,,300,XH,,,raised_face,socket_weld,,,0.9
42656,1 STAINLESS STEEL SCHEDULE 40 304L A312 SEAMLESS PIPE,pipe,seamless_pipe,1.0,,,stainless_steel,A312,304L,,40,,seamless,,,,,0.9
42657,1 STAINLESS STEEL SCHEDULE 80 304L A312 SEAMLESS PIPE,pipe,seamless_pipe,1.0,,,stainless_steel,A312,304L,,80,,seamless,,,,,0.9
42658,"1"" PIPE BLACK A53B SCHEDULE 80 ELECTRIC RESISTANCE WELDED SRL PLAIN END",pipe,erw_pipe,1.0,,,carbon_steel,A53,B,,80,,erw,black,pe,,srl,0.9
42659,"1"" 3000/6000 PLUG FORGED STEEL THREADED SQUARE",valve,plug_valve,1.0,,,carbon_steel,,,3000/6000,,,forged,square,threaded,,,0.8
42660,"1"" 3000 TEE FORGED STEEL SOCKET",fitting,tee,1.0,,,carbon_steel,,,3000,,,forged,,socket_weld,,,0.8
42661,"1"" 3000 TEE FORGED STEEL THREADED",fitting,tee,1.0,,,carbon_steel,,,3000,,,forged,,threaded,,,0.8
42662,1 X 1 X 1/2 FORGED STEEL 3000 THREADED TEE,fitting,reducing_tee,1.0,0.5,,carbon_steel,,,3000,,,forged,,threaded,,,0.9
42663,1 X 1 X 1/2 FORGED STEEL 3000 SOCKET TEE,fitting,tee,1.0,0.5,,carbon_steel,,,3000,,,forged,,socket_weld,,,0.8
42664,1-1/2 STAINLESS STEEL 304L 3000 SOCKETWELD 45 ELBOW,fitting,elbow_45,1.0,,,stainless_steel,,304L,3000,,,,,socket_weld,,,0.9
42665,1-1/2 FORGED STEEL 3000 LF2 SOCKET 45 ELBOW,fitting,45_degree_elbow,1.0,,,carbon_steel,,LF2,3000,,,forged,,socket_weld,,,0.9
42666,1-1/2 CRMLY F11 3000 SOCKETWELD LONG RADIUS 90,fitting,long_radius_90_elbow,1.5,,,chrome_moly,,F11,3000,,,,,socket_weld,,,0.8
42667,1-1/2 STAINLESS STEEL 304L 3000 SOCKETWELD 90 ELBOW,fitting,90_elbow,1.5,,,stainless_steel,,304L,3000,,,,,socket_weld,,,0.9
42668,1-1/2 CRMLY F11 600 RAISED FACE BLIND FLANGE,flange,blind,1.5,,,chrome_moly,,F11,600,,,,raised_face,,,,0.9
42669,1-1/2 CRMLY F11 3000 SOCKETWELD COUPLING,fitting,coupling,1.5,,,chrome_moly,,F11,3000,,,,,socket_weld,,,0.9
42670,1-1/2 STAINLESS STEEL 304L 3000 SOCKETWELD COUPLING,fitting,coupling,1.5,,,stainless_steel,,304L,3000,,,,,socket_weld,,,0.9
42671,1-1/2 FORGED STEEL 3000 LF2 SOCKET COUPLING,fitting,coupling,1.5,,,carbon_steel,,LF2,3000,,,forged,,socket_weld,,,0.9
42672,1-1/2 CRMLY P11 SCHEDULE 80 SA335 SEAMLESS PIPE,pipe,seamless_pipe,1.5,,,chrome_moly,SA335,P11,,80,,seamless,,,,,0.9
42673,1-1/2 BLACK PLAIN END A106B SCHEDULE 80 SRL PIPE,pipe,pipe,1.0,,,carbon_steel,A106,B,,80,,,plain_end,PE,,BLACK,0.9
42674,1-1/2 BLACK A333 GR6 SCHEDULE 40 SRL PIPE,pipe,pipe,1.5,,,carbon_steel,A333,GR6,,40,,,,,,BLACK SRL,0.9
42675,1-1/2 BLACK A333 GR6 SCHEDULE 80 SEAMLESS PIPE,pipe,seamless_pipe,1.5,,,carbon_steel,A333,GR6,,80,,SMLS,black,,,,0.9
42676,1-1/2 MONEL 400 SCHEDULE 40 SEAMLESS PIPE,pipe,seamless_pipe,1.5,,,monel,,400,,40,,seamless,,,,,0.9
42677,1-1/2 STAINLESS STEEL SCHEDULE 40 304L A312 SEAMLESS PIPE,pipe,seamless_pipe,1.5,,,stainless_steel,A312,304L,,40,,seamless,,,,,0.9
42678,1-1/2 STAINLESS STEEL SCHEDULE 10 316L A312 SEAMLESS PIPE,pipe,seamless_pipe,1.5,,,stainless_steel,A312,316L,,10,,seamless,,,,,0.9
42679,1-1/2 STAINLESS STEEL 304L 3000 THREADED HEX PLUG,fitting,hex_plug,1.5,,,stainless_steel,,304L,3000,,,,,threaded,,,0.9
42680,1-1/2 GALVANIZED FORGED STEEL 3000/6000 THREADED ROUND PLUG,fitting,plug,1.5,,,carbon_steel,,,3000/6000,,,forged,galvanized,threaded,,round,0.8
42681,1-1/2 CARBON STEEL 150 STANDARD RAISED FACE SOCKETWELD FLANGE A105N,flange,socket_weld,1.5,,,carbon_steel,A105,N,150,standard,,,raised_face,socket_weld,,,1.0
42682,1-1/2 STAINLESS STEEL 304L 150 SCHEDULE 10 RAISED FACE SOCKETWELD FLANGE,flange,socket_weld,1.5,,,stainless_steel,,304L,150,10,,,raised_face,socket_weld,,,0.9
42683,1-1/2 STAINLESS STEEL 316L 150 SCHEDULE 10 RAISED FACE SOCKETWELD FLANGE,flange,socket_weld,1.5,,,stainless_steel,,316L,150,10,,,raised_face,socket_weld,,,0.9
42684,1-1/2 CARBON STEEL LF2 150 STANDARD RAISED FACE SOCKETWELD FLANGE,flange,socket_weld,1.5,,,carbon_steel,,LF2,150,,,,raised_face,socket_weld,,standard,0.9
42685,1-1/2 CARBON STEEL LF2 150 SCHEDULE XH RAISED FACE SOCKETWELD FLANGE,flange,socket_weld,1.5,,,carbon_steel,,LF2,150,XH,,,raised_face,socket_weld,,,0.9
42686,1-1/2 STAINLESS STEEL 304L 600 STANDARD RAISED FACE SOCKETWELD FLANGE,flange,socket_weld,1.5,,,stainless_steel,,304L,600,standard,,,raised_face,socket_weld,,,0.9
42687,1-1/2 CARBON STEEL LF2 600 SCHEDULE XH RAISED FACE SOCKETWELD FLANGE,flange,socket_weld,1.5,,,carbon_steel,,LF2,600,XH,,,raised_face,socket_weld,,,0.9
42688,"1/2"" 600 STANDARD PORT BALL VALVE BRONZE NOT FOR POTABLE USE THREADED L",valve,ball_valve,0.5,,,bronze,,,600,,,,,threaded,standard_port,not for potable use,0.9
42689,"1/2"" 2000 REDUCED PORT BALL VALVE STAINLESS STEEL LEAD LAW COMPLIANT THREADED LOCKING LEVER",valve,ball_valve,0.5,,,stainless_steel,,,2000,,,,,threaded,,"reduced port, locking lever, lead law compliant",0.8
42690,"1/2"" 2000 BALL VALVE CARBON STEEL THREADED 1-PIECE LOCKING LEVER",valve,ball_valve,0.5,,,carbon_steel,,,2000,,,,,threaded,,1-piece locking lever,0.8
42691,"1/2"" 2000 BALL VALVE CARBON STEEL THREADED SPRING",valve,ball_valve,0.5,,,carbon_steel,,,2000,,,,,threaded,spring,,0.8
42692,"1/2"" 2000 BALL VALVE STAINLESS STEEL THREADED 1-PIECE LOCKING LEVER",valve,ball_valve,0.5,,,stainless_steel,,,2000,,,,,threaded,locking_lever,1-piece,0.9
42693,1/2 FORGED STEEL 3000/6000 THREADED SQUARE PLUG,fitting,plug,0.5,,,carbon_steel,,,3000/6000,,,forged,square,threaded,,,0.9
42694,1/2 FORGED STEEL 3000/6000 THREADED SQUARE PLUG,fitting,plug,0.5,,,carbon_steel,,,3000/6000,,,forged,square,threaded,,,0.8
42695,1/2 FORGED STEEL 3000 THREADED TEE,fitting,tee,0.5,,,carbon_steel,,,3000,,,forged,,threaded,,,0.8
42696,1/2 FORGED STEEL 3000 SOCKET TEE,fitting,tee,0.5,,,carbon_steel,,,3000,,,forged,,socket_weld,,,0.9
42697,1/2 FORGED STEEL 3000 SOCKET STEEL UNION,fitting,union,0.5,,,carbon_steel,,,3000,,,forged,,socket_weld,,,0.8
42698,1/2X3 BLACK B7 STUD WITH 2H NUT,fastener,stud_with_nut,0.5,,3.0,alloy_steel,,B7,,,,,black,,2H,,0.9
42699,10 STAINLESS STEEL SCHEDULE 40 304L LONG RADIUS 45 ELBOW A403WPW,fitting,lr_45_elbow,10.0,,,stainless_steel,A403,WPW,,40,,,,,,304L,0.9
42700,10 CARBON STEEL WPL6 SCHEDULE XH WELD 45 ELBOW,fitting,45_elbow,10.0,,,carbon_steel,,WPL6,,XH,,weld,,,,,0.8
42701,10 CARBON STEEL WPL6 STANDARD WELD 45 ELBOW,fitting,45_elbow,10.0,,,carbon_steel,WPL6,,,standard,,weld,,,,,0.8
42702,10 CARBON STEEL STANDARD WELD LONG RADIUS 90 ELBOW,fitting,long_radius_90_elbow,10.0,,,carbon_steel,,,,standard,,,,butt_weld,,,0.8
42703,10 STAINLESS STEEL SCHEDULE 80S 304L SEAMLESS LONG RADIUS 90 ELBOW,fitting,long_radius_90_elbow,10.0,,,stainless_steel,,304L,,80S,,seamless,,,,,0.9
42704,10 STAINLESS STEEL SCHEDULE 10 304L LONG RADIUS 90 ELBOW A403WPW,fitting,long_radius_90_elbow,10.0,,,stainless_steel,A403,WPW,,10,,,,,,,0.9
42705,10 STAINLESS STEEL SCHEDULE 40 304L LONG RADIUS 90 ELBOW A403WPW,fitting,long_radius_90_elbow,10.0,,,stainless_steel,A403,WPW,,40,,,,,,,0.9
42706,10 STAINLESS STEEL SCHEDULE 10 304L LONG RADIUS 90 ELBOW A403WPW,fitting,long_radius_90_elbow,10.0,,,stainless_steel,A403,WPW,,10,,,,,,,0.9
42707,10 STAINLESS STEEL SCHEDULE 40 304L LONG RADIUS 90 ELBOW A403WPW,fitting,long_radius_90_elbow,10.0,,,stainless_steel,A403,WPW,,40,,,,,,,0.9
42708,10 STAINLESS STEEL SCHEDULE 10 316L LONG RADIUS 90 ELBOW A403WPW,fitting,long_radius_90_elbow,10.0,,,stainless_steel,A403,WPW,,10,,,,,,,0.9
42709,10 CARBON STEEL WPL6 STANDARD WELD LONG RADIUS 90 ELBOW,fitting,long_radius_90_elbow,10.0,,,carbon_steel,,WPL6,,standard,,weld,,,,,0.9
42710,10 CARBON STEEL WPL6 STANDARD WELD LONG RADIUS 90 ELBOW,fitting,long_radius_90_elbow,10.0,,,carbon_steel,WPL6,,,standard,,welded,,butt_weld,,,0.9
42711,10 CARBON STEEL LF2 150 RAISED FACE BLIND FLANGE,flange,blind,10.0,,,carbon_steel,,LF2,150,,,,raised_face,,,,0.9
42712,10 STAINLESS STEEL SCHEDULE 10 316L SEAMLESS CAP,fitting,cap,10.0,,,stainless_steel,,316L,,10,,seamless,,,,,0.9
42713,10 BLACK PLAIN END A106B SCHEDULE 40 SEAMLESS DRL PIPE,pipe,seamless_pipe,10.0,,,carbon_steel,A106,B,,40,,seamless,plain_end,pe,,drl,0.9
42714,10 BLACK PLAIN END A106B SCHEDULE 40 SEAMLESS SRL PIPE,pipe,seamless_pipe,10.0,,,carbon_steel,A106,B,,40,,seamless,plain_end,pe,,srl,0.9
42715,10 BLACK A333 GR6 SCHEDULE 40 SEAMLESS DRL PIPE,pipe,seamless_pipe,10.0,,,carbon_steel,A333,GR6,,40,,seamless,drl,,,black,0.9
42716,10 BLACK A333 GR6 SCHEDULE 40 SEAMLESS DRL PIPE,pipe,seamless_pipe,10.0,,,carbon_steel,A333,GR6,,40,,seamless,drl,,,black,0.9
42717,10 CRMLY P11 SCHEDULE 40 SA335 SEAMLESS PIPE,pipe,seamless_pipe,10.0,,,chrome_moly,SA335,P11,,40,,seamless,,,,,0.9
42718,10 STAINLESS STEEL SCHEDULE 80S 304L A312 WELD PIPE,pipe,pipe,10.0,,,stainless_steel,A312,304L,,80S,,weld,,,,,0.9
42719,10 STAINLESS STEEL SCHEDULE 40 304L A312 WELD PIPE,pipe,pipe,10.0,,,stainless_steel,A312,304L,,40,,welded,,,,,0.9
42720,10 STAINLESS STEEL SCHEDULE 80S 304L A312 SEAMLESS PIPE,pipe,seamless_pipe,10.0,,,stainless_steel,A312,304L,,80S,,seamless,,,,,0.9
42721,10 CARBON STEEL LF2 150 RAISED FACE SLIP ON FLANGE,flange,slip_on,10.0,,,carbon_steel,,LF2,150,,,,,,,raised_face,0.9
42722,10 CARBON STEEL WPL6 SCHEDULE XH WELD TEE,fitting,tee,10.0,,,carbon_steel,,WPL6,,XH,,weld,,,,,0.8
42723,10 CARBON STEEL 150 STANDARD RAISED FACE WELD NECK FLANGE A105N,flange,weld_neck,10.0,,,carbon_steel,A105,N,150,standard,,,raised_face,,,,1.0
42724,10 STAINLESS STEEL 316L 150 SCHEDULE 10 RAISED FACE WELD NECK FLANGE,flange,weld_neck,10.0,,,stainless_steel,,316L,150,10,,,raised_face,,,,0.9
42725,10 CARBON STEEL LF2 150 STANDARD RAISED FACE WELD NECK FLANGE,flange,weld_neck,10.0,,,carbon_steel,,LF2,150,standard,,,raised_face,,,,0.9
42726,10 STAINLESS STEEL 304L 300 STANDARD RAISED FACE WELD NECK FLANGE,flange,weld_neck,10.0,,,stainless_steel,,304L,300,standard,,,raised_face,,,,0.9
42727,10 CARBON STEEL LF2 300 STANDARD RAISED FACE WELD NECK FLANGE,flange,weld_neck,10.0,,,carbon_steel,,LF2,300,standard,,,raised_face,,,,0.9
42728,10 STAINLESS STEEL 304L 600 STANDARD RAISED FACE WELD NECK FLANGE,flange,weld_neck,10.0,,,stainless_steel,,304L,600,standard,,,raised_face,,,,0.9
42729,10 STAINLESS STEEL 304L 600 SCHEDULE 80S RAISED FACE WELD NECK FLANGE,flange,weld_neck,10.0,,,stainless_steel,,304L,600,80S,,,raised_face,,,,0.9
42730,10 CARBON STEEL LF2 600 STANDARD RAISED FACE WELD NECK FLANGE,flange,weld_neck,10.0,,,carbon_steel,,LF2,600,standard,,,raised_face,,,,0.9
42731,10 CARBON STEEL STANDARD WELD 45 ELBOW,fitting,45_degree_elbow,10.0,,,carbon_steel,,,,standard,,,,butt_weld,,,0.8
42732,10 CARBON STEEL STANDARD WELD LONG RADIUS 90 ELBOW,fitting,long_radius_90_elbow,10.0,,,carbon_steel,,,,standard,,,,butt_weld,,,0.8
42733,10 CARBON STEEL STANDARD WELD SHORT RADIUS 90 ELBOW,fitting,short_radius_90_elbow,10.0,,,carbon_steel,,,,standard,,weld,,,,short_radius,0.8
42734,10 CARBON STEEL 300 RAISED FACE SLIP-ON FLANGE A105N,flange,slip_on,10.0,,,carbon_steel,A105,N,300,,,,raised_face,,,,1.0
42735,10 CARBON STEEL 150 STANDARD RAISED FACE WELD NECK FLANGE,flange,weld_neck,10.0,,,carbon_steel,,,150,standard,,,raised_face,,,,0.9
42736,10 CARBON STEEL STANDARD WELD TEE,fitting,straight_tee,10.0,,,carbon_steel,,,,standard,,,,butt_weld,,,0.8
42737,10 X 10 X 4 STAINLESS STEEL SCHEDULE 10 304L TEE A403WPW,fitting,tee,10.0,4.0,,stainless_steel,A403,WPW,,10,,,,,,,0.9
42738,10 X 10 X 4 CARBON STEEL WPL6 STANDARD WELD TEE,fitting,tee,10.0,4.0,,carbon_steel,WPL6,,,standard,,weld,,,,,0.8
42739,10 X 10 X 4 CARBON STEEL WPL6 STANDARD WELD TEE,fitting,tee,10.0,4.0,,carbon_steel,WPL6,,,standard,,welded,,,,,0.9
42740,10 X 10 X 4 CARBON STEEL WPL6 STANDARD WELD TEE,fitting,reducing_tee,10.0,4.0,,carbon_steel,WPL6,,,standard,,,,butt_weld,,,0.9
42741,10X6 S10S 304 STAINLESS STEEL BUTT WELD TEE,fitting,reducing_tee,10.0,6.0,,stainless_steel,,304,,10S,10S,,,butt_weld,,,0.9
42742,10X6 S10S 304 STAINLESS STEEL BUTT WELD TEE,fitting,reducing_tee,10.0,6.0,,stainless_steel,,304,,10S,,,,butt_weld,,,0.9
42743,10 X 10 X 6 CARBON STEEL WPL6 STANDARD WELD TEE,fitting,tee,10.0,6.0,,carbon_steel,WPL6,,,standard,,welded,,,,,0.8
42744,10 X 10 X 6 CARBON STEEL WPL6 STANDARD WELD TEE,fitting,reducing_tee,10.0,6.0,,carbon_steel,WPL6,,,standard,,,,,,,0.8
42745,10 X 10 X 6 CARBON STEEL WPL6 STANDARD WELD TEE,fitting,tee,10.0,6.0,,carbon_steel,WPL6,,,standard,,weld,,,,,0.8
42746,10 X 10 X 8 STAINLESS STEEL SCHEDULE 10 316L TEE,fitting,tee,10.0,8.0,,stainless_steel,,316L,,10,,,,,,,0.9
42747,10 X 10 X 8 STAINLESS STEEL SCHEDULE 10 316L TEE,fitting,tee,10.0,8.0,,stainless_steel,,316L,,schedule_10,,,,,,,0.9
42748,10 X 10 X 8 CARBON STEEL WPL6 STANDARD WELD TEE,fitting,tee,10.0,8.0,,carbon_steel,WPL6,,,standard,,weld,,,,,0.9
42749,10 X 10 X 8 CARBON STEEL WPL6 STANDARD WELD TEE,fitting,reducing_tee,10.0,8.0,,carbon_steel,WPL6,,,standard,,,,butt_weld,,,0.9
42750,10 X 10 X 8 CARBON STEEL WPL6 STANDARD WELD TEE,fitting,tee,10.0,8.0,,carbon_steel,WPL6,,,standard,,,,butt_weld,,,0.9
42751,10 X 8 CARBON STEEL WPL6 STANDARD WELD CONCENTRIC REDUCER,fitting,concentric_reducer,10.0,8.0,,carbon_steel,WPL6,,,standard,,weld,,,,,0.9
42752,10 X 8 STAINLESS STEEL SCHEDULE 10 304L ECCENTRIC REDUCER,fitting,eccentric_reducer,10.0,8.0,,stainless_steel,,304L,,10,,,,,,,0.9
42753,10 X 8 STAINLESS STEEL SCHEDULE 40 304L ECCENTRIC REDUCER,fitting,eccentric_reducer,10.0,8.0,,stainless_steel,,304L,,40,,,,,,,0.9
42754,10 X 8 CARBON STEEL WPL6 STANDARD WELD ECCENTRIC REDUCER,fitting,eccentric_reducer,10.0,8.0,,carbon_steel,WPL6,,,standard,,weld,,,,,0.9
42755,"1-1/2"" 1500 BALL VALVE CARBON STEEL THREADED 1-PIECE LOCKING LEVER",valve,ball_valve,1.5,,,carbon_steel,,,1500,,,,,threaded,,1-piece locking lever,0.9
42756,1-1/2 PAINTED GROOVED COUPLING WITH E GASKET 75,fitting,coupling,1.5,,,,,,,,,,grooved,,,"painted, with E gasket 75",0.8
42757,"1-1/2"" MASTERLINK FOR 1/0",fitting,masterlink,1.5,,,,,,,,,,,,,for 1/0,0.7
42758,12 STAINLESS STEEL SCHEDULE 40 304L LONG RADIUS 45 ELBOW A403WPW,fitting,long_radius_45_elbow,12.0,,,stainless_steel,A403,WPW,,40,,,,,,,0.9
42759,12 CARBON STEEL WPL6 STANDARD WELD 45 ELBOW,fitting,45_elbow,12.0,,,carbon_steel,WPL6,,,standard,,weld,,,,,0.8
42760,12 CARBON STEEL WPL6 STANDARD WELD 45 ELBOW,fitting,elbow_45_degree,12.0,,,carbon_steel,WPL6,,,standard,,welded,,,,,0.8
42761,12 CRMLY T80 WP11 SEAMLESS LONG RADIUS 90 ELBOW,fitting,90_degree_long_radius_elbow,12.0,,,chrome_moly,WP11,T80,,,,seamless,,,,,0.9
42762,12 STAINLESS STEEL SCHEDULE 10 304L LONG RADIUS 90 ELBOW A403WPW,fitting,long_radius_90_elbow,12.0,,,stainless_steel,A403,WPW,,10,,,,,,,0.9
42763,12 STAINLESS STEEL SCHEDULE 40S 304L LONG RADIUS 90 ELBOW A403WPW,fitting,long_radius_90_elbow,12.0,,,stainless_steel,A403,WPW,,40S,,,,,,304L,0.9
42764,12 STAINLESS STEEL 304L 150 RAISED FACE BLIND FLANGE,flange,blind,12.0,,,stainless_steel,,304L,150,,,,raised_face,,,,0.9
42765,12 BLACK PLAIN END A106B STANDARD SEAMLESS DRL PIPE,pipe,seamless_pipe,12.0,,,carbon_steel,A106,B,,standard,,seamless,plain_end,pe,,black,0.9
42766,12 BLACK A333 GR6 STANDARD SEAMLESS PIPE,pipe,seamless_pipe,12.0,,,carbon_steel,A333,GR6,,standard,,seamless,,,,black,0.9
42767,12 STAINLESS STEEL SCHEDULE 10 316L A312 SEAMLESS PIPE,pipe,seamless_pipe,12.0,,,stainless_steel,A312,316L,,10,,seamless,,,,,0.9
42768,12 CARBON STEEL STANDARD WELD TEE,fitting,tee,12.0,,,carbon_steel,,,,standard,,,BW,butt_weld,,,0.8
42769,12 CARBON STEEL 150 STANDARD RAISED FACE WELD NECK FLANGE A105N,flange,weld_neck,12.0,,,carbon_steel,A105,N,150,standard,,,raised_face,,,,1.0
42770,12 CARBON STEEL LF2 150 STANDARD RAISED FACE WELD NECK FLANGE,flange,weld_neck,12.0,,,carbon_steel,,LF2,150,standard,,,raised_face,,,,0.9
42771,12 CARBON STEEL 300 STANDARD RAISED FACE WELD NECK A105N,flange,weld_neck,12.0,,,carbon_steel,A105,N,300,standard,,,raised_face,,,,0.9
42772,12 STAINLESS STEEL 304L 300 SCHEDULE 40S RAISED FACE WELD NECK FLANGE,flange,weld_neck,12.0,,,stainless_steel,,304L,300,40S,,,raised_face,,,,0.9
42773,12 CARBON STEEL LF2 600 STANDARD RAISED FACE WELD NECK FLANGE,flange,weld_neck,12.0,,,carbon_steel,,LF2,600,standard,,,raised_face,,,,0.9
42774,12 CARBON STEEL STANDARD WELD 45 ELBOW,fitting,45_elbow,12.0,,,carbon_steel,,,,standard,,weld,,,,,0.8
42775,12 CARBON STEEL STANDARD WELD LONG RADIUS 90 ELBOW,fitting,long_radius_90_elbow,12.0,,,carbon_steel,,,,standard,,,,BW,,,0.8
42776,12 STAINLESS STEEL SCHEDULE 10S 304L WELD SHORT RADIUS 90 ELBOW,fitting,short_radius_90_elbow,12.0,,,stainless_steel,,304L,,10S,,weld,,,,,0.9
42777,12 CARBON STEEL STANDARD WELD SHORT RADIUS 90 ELBOW,fitting,short_radius_90_elbow,12.0,,,carbon_steel,,,,standard,,welded,,,,short_radius,0.8
42778,12 CARBON STEEL 150 RAISED FACE BLIND FLANGE,flange,blind,12.0,,,carbon_steel,,,150,,,,raised_face,,,,0.9
42779,12 CARBON STEEL 150 RAISED FACE SLIP-ON FLANGE A105N,flange,slip_on,12.0,,,carbon_steel,A105,N,150,,,,raised_face,,,,1.0
42780,12 CARBON STEEL 300 RAISED FACE SLIP-ON FLANGE A105N,flange,slip_on,12.0,,,carbon_steel,A105,N,300,,,,raised_face,,,,1.0
42781,12 STAINLESS STEEL 304L 300 SCHEDULE 10 RAISED FACE WELD NECK FLANGE,flange,weld_neck,12.0,,,stainless_steel,,304L,300,10,,,raised_face,,,,0.9
42782,12 CARBON STEEL 300 STANDARD RAISED FACE WELD NECK FLANGE,flange,weld_neck,12.0,,,carbon_steel,,,300,standard,,,raised_face,,,,0.9
42783,12 BLACK PLAIN END A53B STANDARD ELECTRIC RESISTANCE WELDED DRL PIPE,pipe,pipe,12.0,,,carbon_steel,A53,B,,standard,,erw,plain_end,pe,,drl,0.9
42784,12X6 CARBON STEEL STANDARD WELD CONCENTRIC REDUCER,fitting,concentric_reducer,12.0,6.0,,carbon_steel,,,,standard,,,,butt_weld,,,0.8
42785,12X8 CARBON STEEL STANDARD WELD CONCENTRIC REDUCER,fitting,concentric_reducer,12.0,8.0,,carbon_steel,,,,standard,,,weld,,,,0.8
42786,12 X 10 CARBON STEEL WPL6 STANDARD WELD CONCENTRIC REDUCER,fitting,concentric_reducer,12.0,10.0,,carbon_steel,WPL6,,,standard,,weld,,,,,0.9
42787,12 X 10 CARBON STEEL STANDARD WELD ECCENTRIC REDUCER,fitting,eccentric_reducer,12.0,10.0,,carbon_steel,,,,standard,,weld,,,,,0.8
42788,12 X 6 CARBON STEEL WPL6 STANDARD WELD CONCENTRIC REDUCER,fitting,concentric_reducer,12.0,6.0,,carbon_steel,,WPL6,,standard,,weld,,,,,0.9
42789,12 X 6 CARBON STEEL WPL6 STANDARD WELD ECCENTRIC REDUCER,fitting,eccentric_reducer,12.0,6.0,,carbon_steel,,WPL6,,standard,,weld,,,,,0.9
42790,14 STAINLESS STEEL SCHEDULE 10S .188 304L LONG RADIUS 45 ELBOW WPW,fitting,long_radius_45_elbow,14.0,,,stainless_steel,WPW,304L,,10S,,,,,,.188 wall thickness,0.9
42791,14 CARBON STEEL WPL6 STANDARD WELD 45 ELBOW,fitting,45_degree_elbow,14.0,,,carbon_steel,WPL6,,,standard,,weld,,,,,0.9
42792,14 CARBON STEEL STANDARD WELD LONG RADIUS 90 ELBOW,fitting,long_radius_90_elbow,14.0,,,carbon_steel,,,,standard,,weld,,butt_weld,,,0.8
42793,14 STAINLESS STEEL SCHEDULE 40S 304L LONG RADIUS 90 ELBOW A403WPW,fitting,long_radius_90_elbow,14.0,,,stainless_steel,A403,WPW,,40S,,,,,,304L,0.9
42794,14 STAINLESS STEEL S60 304L LONG RADIUS 90 ELBOW A403WPW,fitting,long_radius_90_elbow,14.0,,,stainless_steel,A403,WPW,,S60,,,,,,304L,0.9
42795,14 CARBON STEEL WPL6 STANDARD WELD LONG RADIUS 90 ELBOW,fitting,long_radius_90_elbow,14.0,,,carbon_steel,WPL6,,,standard,,weld,,,,,0.9
42796,14 CARBON STEEL WPL6 SCHEDULE XH WELD LONG RADIUS 90 ELBOW,fitting,long_radius_90_elbow,14.0,,,carbon_steel,WPL6,,,XH,,weld,,,,,0.9
42797,14 CARBON STEEL WPL6 STANDARD WELD LONG RADIUS 90 ELBOW,fitting,long_radius_90_elbow,14.0,,,carbon_steel,WPL6,,,standard,,welded,,,,,0.9
42798,14 BLACK PLAIN END A106B SCHEDULE XH SEAMLESS SRL PIPE,pipe,seamless_pipe,14.0,,,carbon_steel,A106,B,,extra_heavy,,seamless,plain_end,pe,,black,0.9
42799,14 STAINLESS STEEL SCHEDULE 40S 304L A312 WELD PIPE,pipe,pipe,14.0,,,stainless_steel,A312,304L,,40S,,weld,,,,,0.9
42800,14 CARBON STEEL LF2 150 RAISED FACE SLIP ON FLANGE,flange,slip_on,14.0,,,carbon_steel,,LF2,150,,,,raised_face,,,,0.9
42801,14 CARBON STEEL 150 STANDARD RAISED FACE WELD NECK FLANGE A105N,flange,weld_neck,14.0,,,carbon_steel,A105,N,150,standard,,,raised_face,,,,0.9
42802,14 CARBON STEEL LF2 150 STANDARD RAISED FACE WELD NECK FLANGE,flange,weld_neck,14.0,,,carbon_steel,,LF2,150,standard,,,raised_face,,,,0.9
42803,14 CARBON STEEL 300 SCHEDULE XH RAISED FACE WELD NECK A105N,flange,weld_neck,14.0,,,carbon_steel,A105,N,300,XH,,,raised_face,,,,0.9
42804,14 150 WRI 316 FG 316 IR GASKET,gasket,spiral_wound,14.0,,,stainless_steel,,316,150,,,,,,316,inner_ring,0.9
42805,14 CARBON STEEL STANDARD WELD CAP,fitting,cap,14.0,,,carbon_steel,,,,standard,,,,butt_weld,,,0.8
42806,14 CARBON STEEL 150 RAISED FACE SLIP ON FLANGE,flange,slip_on,14.0,,,carbon_steel,,,150,,,,raised_face,,,,0.9
42807,14 BLACK PLAIN END A53B STANDARD ELECTRIC RESISTANCE WELDED DRL PIPE,pipe,erw_pipe,14.0,,,carbon_steel,A53,B,,standard,,erw,,plain_end,,drl,0.9
42808,14X10 CARBON STEEL STANDARD WELD CONCENTRIC REDUCER,fitting,concentric_reducer,14.0,10.0,,carbon_steel,,,,standard,,weld,,,,,0.8
42809,14X8 CARBON STEEL STANDARD WELD CONCENTRIC REDUCER,fitting,concentric_reducer,14.0,8.0,,carbon_steel,,,,standard,,weld,,,,,0.8
42810,14 X 12 CARBON STEEL WPL6 STANDARD WELD ECCENTRIC REDUCER,fitting,eccentric_reducer,14.0,12.0,,carbon_steel,,WPL6,,standard,,weld,,,,,0.9
42811,16 CARBON STEEL STANDARD WELD 45 ELBOW,fitting,45_degree_elbow,16.0,,,carbon_steel,,,,standard,,,,butt_weld,,,0.8
